,movie,popularity,production_budget,domestic_gross,worldwide_gross,release_month,movie_id,primary_title,start_year,runtime_minutes,averagerating,numvotes,genre_list,genre_rating
183,Battleship,21.741999999999997,220000000,65233400,313477717,5,tt1440129,Battleship,2012,131.0,5.8,225342.0,Action,6.085581395348833
184,Snow White and the Huntsman,21.233,170000000,155136755,401021746,6,tt1735898,Snow White and the Huntsman,2012,127.0,6.1,258938.0,Action,6.085581395348833
185,Skyfall,19.27,200000000,304360277,1110526981,11,tt1074638,Skyfall,2012,143.0,7.8,592221.0,Action,6.085581395348833
186,John Carter,18.549,275000000,73058679,282778100,3,tt0401729,John Carter,2012,132.0,6.6,241792.0,Action,6.085581395348833
187,Jack Reacher,18.312,60000000,80070736,217370736,12,tt0790724,Jack Reacher,2012,130.0,7.0,284547.0,Action,6.085581395348833
188,The Bourne Legacy,18.05,125000000,113203870,280355920,8,tt1194173,The Bourne Legacy,2012,135.0,6.7,268678.0,Action,6.085581395348833
189,Total Recall,17.243,125000000,58877969,211856088,8,tt1386703,Total Recall,2012,118.0,6.3,228460.0,Action,6.085581395348833
190,Total Recall,17.243,65000000,119394839,261400000,8,tt1386703,Total Recall,2012,118.0,6.3,228460.0,Action,6.085581395348833
191,The Expendables 2,17.215999999999998,100000000,85028192,311979256,8,tt1764651,The Expendables 2,2012,103.0,6.6,277584.0,Action,6.085581395348833
192,Looper,16.779,30000000,66486205,170466405,9,tt1276104,Looper,2012,113.0,7.4,500595.0,Action,6.085581395348833
193,Taken 2,16.078,45000000,139854287,377807404,10,tt1397280,Taken 2,2012,92.0,6.3,273106.0,Action,6.085581395348833
194,Safe,15.622,33000000,17142080,41495213,4,tt1656190,Safe,2012,94.0,6.5,96388.0,Action,6.085581395348833
195,The Man with the Iron Fists,15.457,15000000,15634090,22018988,11,tt1258972,The Man with the Iron Fists,2012,95.0,5.4,58185.0,Action,6.085581395348833
196,Wrath of the Titans,14.991,150000000,83670083,305270083,3,tt1646987,Wrath of the Titans,2012,99.0,5.7,172330.0,Action,6.085581395348833
